ENSEMBL	gene_name	transcript_type	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	change	type
ENSG00000156453	PCDH1	protein_coding	210.749449561063	-1.70865840007675	0.225005397116254	-7.59385517847796	3.10525439689013e-14	3.49237611170243e-11	DOWN	shHL_ChIP_DOWN
ENSG00000187735	TCEA1	protein_coding	1098.06216517312	-1.33986283006754	0.19385876056068	-6.9115413004415	4.79415910815249e-12	2.77226214018763e-09	DOWN	shHL_ChIP_DOWN
ENSG00000162434	JAK1	protein_coding	1728.4975508311	-1.0161727805407	0.147209016447493	-6.90292486875727	5.09425763757064e-12	2.77226214018763e-09	DOWN	shHL_ChIP_DOWN
ENSG00000101187	SLCO4A1	protein_coding	1295.42769126848	-1.47989672319655	0.215567176914899	-6.86513013890227	6.6430664777853e-12	3.29613327883053e-09	DOWN	shHL_ChIP_DOWN
ENSG00000125844	RRBP1	retained_intron	2329.19396060347	0.877512452591958	0.131227368944827	6.68696217601451	2.2785073796541e-11	8.93916732436389e-09	UP	shHL_ChIP_DOWN
ENSG00000117525	F3	protein_coding	1098.71967835047	-1.10727007299418	0.176985138728845	-6.25628841464821	3.94247357973807e-10	1.20926416891239e-07	DOWN	shHL_ChIP_DOWN
ENSG00000164111	ANXA5	protein_coding	5259.37242195854	0.816632788421728	0.133451845913843	6.11930680186282	9.39833003445778e-10	2.68728521493733e-07	UP	shHL_ChIP_DOWN
ENSG00000074370	ATP2A3	protein_coding	501.944715778533	-0.930112240626494	0.152554267085493	-6.09692706992751	1.08126818806903e-09	3.04016572212077e-07	DOWN	shHL_ChIP_DOWN
ENSG00000162627	SNX7	protein_coding	608.131832380134	1.10865966211112	0.184050440667215	6.02367295667447	1.70502722324425e-09	4.22997194943095e-07	UP	shHL_ChIP_DOWN
ENSG00000185567	AHNAK2	retained_intron	4694.78191858653	-1.36352666759592	0.231027270985725	-5.90201607705516	3.59086162354097e-09	7.9707678406758e-07	DOWN	shHL_ChIP_DOWN
ENSG00000172380	GNG12	protein_coding	1355.9022451924	-0.934644585786876	0.159897266412892	-5.84528182847985	5.05711340041638e-09	1.0664187883128e-06	DOWN	shHL_ChIP_DOWN
ENSG00000196352	CD55	protein_coding	6713.55083825707	-0.691165199941003	0.123628791914872	-5.590649146009	2.26222275727988e-08	3.81636979153116e-06	DOWN	shHL_ChIP_DOWN
ENSG00000165801	ARHGEF40	protein_coding	1344.55264049507	-0.716590804872728	0.133555632200063	-5.36548547648887	8.07317765455522e-08	1.13895080518088e-05	DOWN	shHL_ChIP_DOWN
ENSG00000148204	CRB2	protein_coding	46.6384073474988	-1.84302622088562	0.344559347301735	-5.34893694023532	8.84723590162763e-08	1.22338417754474e-05	DOWN	shHL_ChIP_DOWN
ENSG00000122863	CHST3	protein_coding	2267.9405368648	-0.704987584492279	0.133977957658044	-5.26196694453006	1.42522394418796e-07	1.83538381209549e-05	DOWN	shHL_ChIP_DOWN
ENSG00000182054	IDH2	protein_coding	498.768168144574	-0.941866311135528	0.179471182847539	-5.24800860055424	1.53752121619493e-07	1.93567036695585e-05	DOWN	shHL_ChIP_DOWN
ENSG00000171219	CDC42BPG	protein_coding	148.995952549566	-1.08878657620916	0.212323381579658	-5.12796361902646	2.9289302330798e-07	3.22948059033047e-05	DOWN	shHL_ChIP_DOWN
ENSG00000183010	PYCR1	protein_coding	492.125804012522	-0.892032480641138	0.175295862152147	-5.08872525391903	3.60478424268467e-07	3.82469875308745e-05	DOWN	shHL_ChIP_DOWN
ENSG00000070404	FSTL3	protein_coding	1949.57181872307	-0.673298003984362	0.132403659722503	-5.08519179451299	3.67254756766794e-07	3.84819114699119e-05	DOWN	shHL_ChIP_DOWN
ENSG00000167861	HID1	protein_coding	161.16262910819	-1.12657060322699	0.221738511928688	-5.08062669595843	3.76191736338284e-07	3.91750283458447e-05	DOWN	shHL_ChIP_DOWN
ENSG00000156515	HK1	protein_coding	3112.29448778704	0.81106259031705	0.160964690418263	5.03876091215735	4.68555356597295e-07	4.73325081784214e-05	UP	shHL_ChIP_DOWN
ENSG00000180066	LINC02870	lncRNA	78.1668355201183	-1.52850859457519	0.309708809582155	-4.93530873931996	8.00240680390805e-07	7.80350305097855e-05	DOWN	shHL_ChIP_DOWN
ENSG00000174307	PHLDA3	protein_coding	646.013805098653	-0.697998558197135	0.145425497891517	-4.79969859699446	1.58904592697693e-06	0.000146487457858474	DOWN	shHL_ChIP_DOWN
ENSG00000081052	COL4A4	protein_coding	677.650404858304	-0.779654568710331	0.16275136697271	-4.79046402627796	1.6639605484409e-06	0.000151737685281892	DOWN	shHL_ChIP_DOWN
ENSG00000109099	PMP22	protein_coding	737.566743978726	0.680173741706072	0.141985035705612	4.79046075754297	1.66398765721103e-06	0.000151737685281892	UP	shHL_ChIP_DOWN
ENSG00000133816	MICAL2	protein_coding	719.883183229928	-0.995395318987279	0.209434174762408	-4.75278363770621	2.00635017170083e-06	0.000176287121857255	DOWN	shHL_ChIP_DOWN
ENSG00000178585	CTNNBIP1	protein_coding	137.214932491127	1.06138461590055	0.224610076102379	4.72545414844506	2.29601639087807e-06	0.000196618256416817	UP	shHL_ChIP_DOWN
ENSG00000167291	TBC1D16	protein_coding	593.809223532161	-0.728266200698176	0.155892540110102	-4.67159108565313	2.98875508798331e-06	0.000247158325168031	DOWN	shHL_ChIP_DOWN
ENSG00000184185	KCNJ12	protein_coding	661.023199190523	-0.711554217697383	0.153165917303117	-4.64564330123919	3.3901834348524e-06	0.000276291761091594	DOWN	shHL_ChIP_DOWN
ENSG00000139874	SSTR1	protein_coding	1014.24872747798	-0.915322090999441	0.197865500984591	-4.62598121675958	3.72829088067636e-06	0.000296680505457595	DOWN	shHL_ChIP_DOWN
